c5d9d74b-b6e7-411b-8d1b-4f918a9453a5,5,70,95,6107.89
fe013585-70bc-44d6-8701-6e2df3af1a5e,7,35,25,2976.43
54ea9ffc-2ebb-4e50-ba35-9980a117e90e,4,10,90,1692.23
46e70b2d-0ffa-4170-acb3-76ccf3b28d6d,7,80,75,18147.77
2a8de3f4-bb74-494c-bf65-8a540bef4c93,3,20,30,775.63
ae790080-9b53-46eb-9116-29beee7e1e1f,4,15,65,1093.64
8e426a82-d90f-48e2-8bf7-71bb82d38c21,1,95,65,2354.50
c84f77c9-ff4e-4c6e-86cc-b19f4c53808a,1,70,40,1397.13
3dfa37c0-a06d-425f-b026-08a284979f0f,1,55,60,1103.19
fbc04066-a305-4c3c-93ed-91d106870422,1,50,95,2146.42
e47eae6e-50ba-42e6-99e0-bc8c10fa128c,5,50,75,5753.65
acc862dd-a243-4964-9ac5-686b37fcda4e,1,15,50,175.57
b968f783-d914-420e-882d-035ac47a3757,9,50,85,11714.66
69cf1fd4-50bb-4053-a78b-7bda6b0450a1,3,25,30,442.69
0d478e88-9e7a-4590-8290-95ee86a5423a,1,90,15,532.44
7414c488-0683-4c72-bdf4-b3ea38873b72,2,70,45,2465.35
0aab1363-c436-4a44-ac0b-43f7b34ee56f,1,70,60,1681.28
741abc52-735a-42f2-b826-d9cc15c24225,7,80,90,12383.19
